HOLEID,PROJECTCODE,DEPTH,SURVTYPE,AZIMUTH,AZIMUTHTYPE,DIP,PRIORITY,Instrument,MGA_Z50_GDAZIMUTH,WGS84_GDAZIMUTH,Merlot_GDAZIMUTH,Wallaby Mine_GDAZIMUTH,Wallaby Uground_GDAZIMUTH,WaterBore_GDAZIMUTH,South_GDAZIMUTH
SRC122,Merlot,0,Planned,90,Estimate,-60,2,GPS,,,,,,,
SRC123,Merlot,0,Planned,90,Estimate,-60,2,GPS,,,,,,,
